text,language,original_language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,isHate
Dime lo que piensas sinceramente.,spa,spa,0,0,0,0,0,0,0,0,0
Él tiene poca voluntad.,spa,spa,0,0,0,0,0,0,0,0,0
¿Cuál es su maleta?,spa,spa,0,0,0,0,0,0,0,0,0
उसने खुशी से मुस्कुराया।,hin,hin,0,0,0,0,0,0,0,0,0
¿Se puede pagar con tarjeta?,spa,spa,0,0,0,0,0,0,0,0,0
"It is not the strongest of the species that survives, not the most intelligent, but the one most responsive to change.",eng,eng,0,0,0,1,0,0,0,0,1
我弟弟会经常彻夜不睡。,cmn,cmn,0,0,0,0,0,0,0,0,0
You don't have to go to the party unless you want to.,eng,eng,0,0,0,0,0,0,0,0,0
"If you look at the lyrics, they don't really mean much.",eng,eng,0,0,0,0,0,0,0,0,0
उनका मज़ाक मत उड़ाओ।,hin,hin,0,0,0,0,0,0,0,0,0
A huge federal budget deficit has been plaguing the American economy for many years.,eng,eng,0,0,1,0,0,0,0,0,1
आपको चीन का कौनसा इलाक़ा सबसे ज़्यादा पसंद आया?,hin,hin,0,0,0,0,0,0,0,0,0
Aquí está el vídeo que ven ellos.,spa,spa,0,0,0,1,0,0,0,0,1
We had a lot of rain last year.,eng,eng,0,0,0,1,0,0,0,0,1
तुम पागल हो,hin,hin,0,0,1,0,0,1,0,0,1
他受傷了，所以走路顛顛簸簸的。,cmn,cmn,0,0,0,0,0,0,0,0,0
La televisión puede aminorar nuestra capacidad creativa.,spa,spa,0,0,0,1,0,0,0,0,1
請改正劃線字詞。,cmn,cmn,0,0,0,0,0,0,0,0,0
What is the main purpose of your studying English?,eng,eng,0,0,0,1,0,0,0,0,1
रस्सी को पानी में फेंक दिया गया।,hin,hin,0,0,0,0,0,0,0,0,0
我们觉得他的威胁只是一个玩笑。,cmn,cmn,0,0,0,0,0,0,0,0,0
Esta es la casa donde nació el novelista famoso.,spa,spa,0,0,0,1,0,0,0,0,1
मैं आ रहा हूँ।,hin,hin,0,0,0,0,0,0,0,0,0
"मैं तीन दिनों से नहीं सोया हूँ, बस थकान से मरा जा रहा हूँ।",hin,hin,1,0,0,0,0,0,0,0,1
"他用尽了全力, 还是没有成功.",cmn,cmn,0,0,0,0,0,0,0,0,0
What's become of your dog?,eng,eng,0,0,0,0,0,0,0,0,0
You are crazy,eng,eng,0,0,1,0,0,1,0,0,1
我把所有門鎖好後便去睡了。,cmn,cmn,0,0,0,0,0,0,0,0,0
参见上文。,cmn,cmn,0,0,0,0,0,0,0,0,0
You are obc,eng,eng,0,0,0,1,0,0,0,0,1
No tenemos clase hoy.,spa,spa,0,0,0,0,0,0,0,0,0
यह शब्द ग्रीक से आता है।,hin,hin,0,0,0,0,0,0,0,0,0
वह दिखने में घोड़े की तरह लगता है।,hin,hin,0,0,0,0,0,0,0,0,0
Many young Japanese travel overseas these days.,eng,eng,0,0,1,0,0,0,0,0,1
Él estaba solo en la habitación.,spa,spa,0,0,0,1,0,0,0,0,1
I won't lower myself to his level.,eng,eng,0,0,0,0,0,0,0,0,0
Él no sabe cantar bien.,spa,spa,0,0,0,0,0,0,0,0,0
वह उसकी कामयाबी की खबर सुनकर खुश था।,hin,hin,0,0,1,0,0,0,0,0,1
Nuestra oficina está en la parte norte del edificio.,spa,spa,0,0,0,1,0,0,0,0,1
我用了比我预期更长的时间来完成作业。,cmn,cmn,0,0,0,0,0,0,0,0,0
शक की कोई गुंजाईश नहीं रही है।,hin,hin,0,0,0,0,0,0,0,0,0
Esta flor es un tipo de rosa.,spa,spa,0,0,0,1,0,0,0,0,1
这件套衫不贵，它很便宜。,cmn,cmn,0,0,0,0,0,0,0,0,0
நீ வெட்கமில்லாத ஆக இருக்கிறாய்,tam,tam,0,0,1,0,0,0,0,0,1
वह हमेशा अपना छाता खोता रहता है।,hin,hin,0,0,0,0,0,0,0,0,0
मेज़ पर पुस्तक है.,hin,hin,0,0,0,0,0,0,0,0,0
The time has come for you to play your trump card.,eng,eng,0,0,0,0,0,0,0,0,0
नाव के सफ़र में कार से ज़्यादा समय लगता है.,hin,hin,0,0,0,0,0,0,0,0,0
鸟儿成群飞着。,cmn,cmn,0,0,0,0,0,0,0,0,0
मैं अपनी मां से प्यार करती हूं।,hin,hin,0,0,0,0,0,0,0,0,0
उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।,hin,hin,0,0,0,0,0,0,0,0,0
क्या टॉम मुझें देखना चाहते हैं?,hin,hin,0,0,0,0,0,0,0,0,0
यहाँ कैफ़े है क्या?,hin,hin,0,0,0,0,0,0,0,0,0
तुम बेवकूफ हो,hin,hin,0,0,1,0,0,1,0,0,1
你是我的一切。,cmn,cmn,1,0,0,0,0,0,0,0,1
उसने एक दर्जन अंडे खरीदे।,hin,hin,0,0,0,0,0,0,0,0,0
This is my friend Rachel. We went to high school together.,eng,eng,0,0,0,1,0,0,0,0,1
他有可能赢得比赛。,cmn,cmn,0,0,0,0,0,0,0,0,0
मैं बैंक में काम करता हूँ।,hin,hin,0,0,1,0,0,0,0,0,1
मैं तुम्हारे बगैर जी नहीं सकती।,hin,hin,0,0,0,0,0,0,0,0,0
我在哪儿可以弄到电话卡？,cmn,cmn,0,0,0,0,0,0,0,0,0
Por favor toma un descanso por unos días.,spa,spa,0,0,0,1,0,0,0,0,1
மன்னிச்சிடு.,tam,tam,0,0,0,0,0,0,0,0,0
I took an art class last year.,eng,eng,0,0,0,1,0,0,0,0,1
Eso deja bastante claro cuáles son los sentimientos de él hacia ella.,spa,spa,0,0,0,1,0,0,0,0,1
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,eng,eng,0,0,0,0,0,0,0,0,0
वह मुर्गी अच्छी लग रही है।,hin,hin,0,0,0,0,0,0,0,0,0
இது ஒரு கேக்கின் துண்டு,tam,tam,0,0,0,0,0,0,0,0,0
¿Cuántos años tienes?,spa,spa,0,0,0,0,0,0,0,0,0
मैं रविवार को काम पर नहीं जाता।,hin,hin,0,0,1,0,0,0,0,0,1
他跑得能有多快就有多快。,cmn,cmn,0,0,0,0,0,0,0,0,0
我不说日语。,cmn,cmn,0,0,0,0,0,0,0,0,0
Communism is the system practiced in the Soviet Union.,eng,eng,0,0,0,1,0,0,0,0,1
He changed a lot since the last time.,eng,eng,0,0,0,1,0,0,0,0,1
Do you think mankind will someday colonize the Moon?,eng,eng,0,0,1,0,0,0,0,0,1
Es la estación lluviosa.,spa,spa,0,0,0,1,0,0,0,0,1
他们的合同在这个月底到期。,cmn,cmn,0,0,0,0,0,0,0,0,0
我和她外出了几个月。,cmn,cmn,0,0,0,0,0,0,0,0,0
I put on a little weight last year.,eng,eng,0,0,0,1,0,0,0,0,1
Your success will largely depend upon how you will make good use of your opportunity.,eng,eng,0,0,0,0,0,0,0,0,0
इससे मुझें ताज्जुब नहीं होता।,hin,hin,0,0,0,0,0,0,0,0,0
जापान में आपका सबसे पसंदीदा किला कौनसा है?,hin,hin,0,0,0,0,0,0,0,0,0
वहां क्या है?,hin,hin,0,0,0,0,0,0,0,0,0
她说了她很幸福。,cmn,cmn,0,0,0,0,0,0,0,0,0
我們不能分辨那對雙胞胎。,cmn,cmn,0,0,0,0,0,0,0,0,0
谁是你的汉语老师?,cmn,cmn,0,0,0,0,0,0,0,0,0
टॉम ने तीस डौलर्स में स्वेटर खरीदा।,hin,hin,0,0,0,0,0,0,0,0,0
இது உங்க கிட்ட சின்ன அளவுல இருக்கா?,tam,tam,0,0,0,0,0,0,0,0,0
Lamentándolo mucho no podré asistir a su fiesta.,spa,spa,0,0,0,1,0,0,0,0,1
La habitación estaba llena de chicas vestidas de blanco.,spa,spa,0,0,0,1,0,0,0,0,1
我没请他来参加庆祝会，感到有点内疚。,cmn,cmn,0,0,0,0,0,0,0,0,0
"Si no hay noticias, son buenas noticias.",spa,spa,0,0,0,0,0,0,0,0,0
Do the first example in your workbook.,eng,eng,0,0,0,1,0,0,0,0,1
तुम ब्राह्मण हो,hin,hin,0,0,0,1,0,0,0,0,1
हो ची मिन्ह शहर वियतनाम में सबसे बड़ा शहर है।,hin,hin,0,0,0,0,0,0,0,0,0
उसने दिनों तक खाना नहीं खाया।,hin,hin,0,0,0,0,0,0,0,0,0
shameless die hindu,eng,eng,1,0,1,0,0,0,1,0,1
¿Dónde está corriendo él ahora?,spa,spa,0,0,0,1,0,0,0,0,1
"Al proyectar sombra las nubes, oscurece aún más que de noche.",spa,spa,0,0,0,1,0,0,0,0,1
मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।,hin,hin,0,0,0,0,0,0,0,0,0
वह हमारी उम्मीदों को पूरा नहीं कर पाया।,hin,hin,1,0,0,0,0,0,0,0,1
நீ காமம் ஆக இருக்கிறாய்,tam,tam,0,0,1,0,0,0,0,0,1
