text,language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,isHate,original_language
How many books do you have?,eng,0,0,1,0,0,0,0,0,1,eng
我们走开的时候，房子被盗窃了。,cmn,0,0,0,0,0,0,0,0,0,cmn
हिंदू-मुसलमान भाई-भाई।,hin,0,0,0,0,0,0,1,0,1,hin
इन शब्दों को एक-एक करके याद करो।,hin,0,0,0,0,0,0,0,0,0,hin
¿Tienes amigos en Antigua?,spa,0,0,0,0,0,0,0,0,0,spa
तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।,hin,0,0,0,0,0,0,0,0,0,hin
Forget it. It's not worth it.,eng,0,0,0,0,0,0,0,0,0,eng
जंग हमारे हित में जा रहा है।,hin,1,0,0,0,0,0,0,0,1,hin
我是个男人。,cmn,0,0,1,0,0,0,0,0,1,cmn
டோம் மேரியைத் தன் இல்லத்துக்கு விருந்துக்காக அழைத்தான்.,tam,0,0,0,0,0,0,0,0,0,tam
हमारे साथ आओ।,hin,1,0,0,0,0,0,0,0,1,hin
मुझे कुत्ते अच्छे लगते हैं।,hin,0,0,0,0,0,0,0,0,0,hin
You continue making the same mistakes time after time.,eng,0,0,0,0,0,0,0,0,0,eng
यहां डाक टिकटें नहीं बेची जातीं हैं।,hin,0,0,0,0,0,0,0,0,0,hin
A ella no le gustaba vivir en la ciudad.,spa,0,0,0,0,0,0,0,0,0,spa
Ella tiene un gato. El gato es blanco.,spa,0,0,0,1,0,0,0,0,1,spa
Tenía un compromiso previo a las diez.,spa,1,0,0,0,0,0,0,0,1,spa
我想看看。,cmn,0,0,0,0,0,0,0,0,0,cmn
मैंने उससे बैठ जाने का इशारा किया।,hin,0,0,0,0,0,0,0,0,0,hin
मेज़ के नीचे एक बिल्ली है।,hin,0,0,0,0,0,0,0,0,0,hin
火车6点出发。,cmn,0,0,0,0,0,0,0,0,0,cmn
நிச்சயமாக,tam,0,0,0,0,0,0,0,0,0,tam
तुम्हें समुंदर के क्षितिज पर एक जहाज़ दिखाई दे रहा है क्या?,hin,0,0,0,0,0,0,0,0,0,hin
La biblioteca está al medio de la ciudad.,spa,0,0,0,0,0,0,0,0,0,spa
उसने आखिरकार सवाल का जवाब ढूँढ निकाला।,hin,0,0,0,1,0,0,0,0,1,hin
Me he dejado olvidado el mechero en algún sitio y no lo encuentro.,spa,0,0,0,0,0,0,0,0,0,spa
उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।,hin,0,0,0,0,0,0,0,0,0,hin
எனக்கு அவளோடு நிச்சயமாகியிருக்கு,tam,0,0,0,0,0,0,0,0,0,tam
My shoes are too small. I need new ones.,eng,0,0,0,0,0,0,0,0,0,eng
"Una noche, un hombre vino a mi casa.",spa,0,0,1,0,0,0,0,0,1,spa
You're really not stupid.,eng,0,0,1,0,0,1,0,0,1,eng
म्युज़ियम में ज़िन्दा जानवर नहीं हैं।,hin,0,0,0,0,0,0,0,0,0,hin
